"id","line_no","original_line","mutated_line","source_filepath"
"http_1",2591,"return header(HEADER_ACCEPT, accept);","return null;","com/github/kevinsawicki/http/HttpRequest.java"
"http_2",2380,"return header(HEADER_ACCEPT_CHARSET, acceptCharset);","return null;","com/github/kevinsawicki/http/HttpRequest.java"
"http_3",2360,"return header(HEADER_ACCEPT_ENCODING, acceptEncoding);","return null;","com/github/kevinsawicki/http/HttpRequest.java"
"http_4",2370,"return acceptEncoding(ENCODING_GZIP);","return null;","com/github/kevinsawicki/http/HttpRequest.java"
"http_5",2600,"return accept(CONTENT_TYPE_JSON);","return null;","com/github/kevinsawicki/http/HttpRequest.java"
"http_6",339,"if (value != null && value.getClass().isArray())","if (false && value.getClass().isArray())","com/github/kevinsawicki/http/HttpRequest.java"
"http_7",339,"if (value != null && value.getClass().isArray())","if (true && value.getClass().isArray())","com/github/kevinsawicki/http/HttpRequest.java"
"http_8",339,"if (value != null && value.getClass().isArray())","if (value != null && false)","com/github/kevinsawicki/http/HttpRequest.java"
"http_9",339,"if (value != null && value.getClass().isArray())","if (value != null && true)","com/github/kevinsawicki/http/HttpRequest.java"
"http_10",342,"if (value instanceof Iterable<?>) {","if (false<?>) {","com/github/kevinsawicki/http/HttpRequest.java"
"http_11",342,"if (value instanceof Iterable<?>) {","if (true<?>) {","com/github/kevinsawicki/http/HttpRequest.java"
"http_12",344,"while (iterator.hasNext()) {","while (false) {","com/github/kevinsawicki/http/HttpRequest.java"
"http_13",344,"while (iterator.hasNext()) {","while (true) {","com/github/kevinsawicki/http/HttpRequest.java"
"http_14",348,"if (element != null)","if (false)","com/github/kevinsawicki/http/HttpRequest.java"
"http_15",348,"if (element != null)","if (true)","com/github/kevinsawicki/http/HttpRequest.java"
"http_16",350,"if (iterator.hasNext())","if (false)","com/github/kevinsawicki/http/HttpRequest.java"
"http_17",350,"if (iterator.hasNext())","if (true)","com/github/kevinsawicki/http/HttpRequest.java"
"http_18",356,"if (value != null)","if (false)","com/github/kevinsawicki/http/HttpRequest.java"
"http_19",356,"if (value != null)","if (true)","com/github/kevinsawicki/http/HttpRequest.java"
"http_20",360,"return result;","return null;","com/github/kevinsawicki/http/HttpRequest.java"
"http_21",329,"final int lastChar = result.length() - 1;","final int lastChar = result.length() + 1;","com/github/kevinsawicki/http/HttpRequest.java"
"http_22",330,"if (queryStart == -1)","if (false)","com/github/kevinsawicki/http/HttpRequest.java"
"http_23",330,"if (queryStart == -1)","if (true)","com/github/kevinsawicki/http/HttpRequest.java"
