"id","line_no","original_line","mutated_line","source_filepath"
"bcel_1",207,"if (consume > stack().slotsUsed()) {","if (consume >= stack().slotsUsed()) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_2",207,"if (consume > stack().slotsUsed()) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_3",207,"if (consume > stack().slotsUsed()) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_4",208,"constraintViolated(o,","constraintViolated(o,  // removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_5",212,"final int produce = o.produceStack(cpg) - o.consumeStack(cpg); // Stack values are always consumed first; then produced.","final int produce = o.produceStack(cpg) + o.consumeStack(cpg); // Stack values are always consumed first; then produced.","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_6",213,"if ( produce + stack().slotsUsed() > stack().maxStack() ) {","if ( produce - stack().slotsUsed() > stack().maxStack() ) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_7",213,"if ( produce + stack().slotsUsed() > stack().maxStack() ) {","if ( produce + stack().slotsUsed() >= stack().maxStack() ) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_8",213,"if ( produce + stack().slotsUsed() > stack().maxStack() ) {","if ( false ) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_9",213,"if ( produce + stack().slotsUsed() > stack().maxStack() ) {","if ( true ) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_10",214,"constraintViolated(o, ""Cannot produce ""+produce+"" stack slots: only ""+(stack().maxStack()-stack().slotsUsed())+","constraintViolated(o, ""Cannot produce ""+produce+"" stack slots: only ""+(stack().maxStack()+stack().slotsUsed())+","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_11",214,"constraintViolated(o, ""Cannot produce ""+produce+"" stack slots: only ""+(stack().maxStack()-stack().slotsUsed())+","constraintViolated(o, ""Cannot produce ""+produce+"" stack slots: only ""+(stack().maxStack()-stack().slotsUsed())+  // removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_12",181,"if (! ((arrayref instanceof ArrayType) || arrayref.equals(Type.NULL)) ) {","if (! ((false) || arrayref.equals(Type.NULL)) ) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_13",181,"if (! ((arrayref instanceof ArrayType) || arrayref.equals(Type.NULL)) ) {","if (! ((true) || arrayref.equals(Type.NULL)) ) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_14",181,"if (! ((arrayref instanceof ArrayType) || arrayref.equals(Type.NULL)) ) {","if (! ((arrayref instanceof ArrayType) || false) ) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_15",181,"if (! ((arrayref instanceof ArrayType) || arrayref.equals(Type.NULL)) ) {","if (! ((arrayref instanceof ArrayType) || true) ) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_16",182,"constraintViolated(o, ""The 'arrayref' does not refer to an array but is of type ""+arrayref+""."");","// removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_17",184,"return arrayref instanceof ArrayType;","return false;","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_18",184,"return arrayref instanceof ArrayType;","return true;","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_19",112,"""Instruction ""+ fq_classname.substring(fq_classname.lastIndexOf('.')+1) +"" constraint violated: "" + description);","""Instruction ""- fq_classname.substring(fq_classname.lastIndexOf('.')+1) +"" constraint violated: "" + description);","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_20",1254,"if(rt instanceof ObjectType) {","if(false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_21",1254,"if(rt instanceof ObjectType) {","if(true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_22",1255,"return (ObjectType)rt;","return null;","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_23",1257,"constraintViolated(o, ""expecting ObjectType but got ""+rt);","// removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_24",151,"if (! index.equals(Type.INT)) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_25",151,"if (! index.equals(Type.INT)) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_26",152,"constraintViolated(o, ""The 'index' is not of type int but of type ""+index+""."");","// removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_27",100,"return frame.getLocals();","return null;","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_28",163,"if (r instanceof UninitializedObjectType) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_29",163,"if (r instanceof UninitializedObjectType) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_30",164,"constraintViolated(o, ""Working on an uninitialized object '""+r+""'."");","// removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_31",91,"return frame.getStack();","return null;","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_32",170,"if (! value.equals(Type.INT)) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_33",170,"if (! value.equals(Type.INT)) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_34",171,"constraintViolated(o, ""The 'value' is not of type int but of type ""+value+""."");","// removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_35",466,"indexOfInt(o, index);","// removed call to indexOfInt()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_36",467,"if (arrayrefOfArrayType(o, arrayref)) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_37",467,"if (arrayrefOfArrayType(o, arrayref)) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_38",468,"if (! (((ArrayType) arrayref).getElementType() instanceof ReferenceType)) {","if (! (((ArrayType) arrayref).false)) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_39",468,"if (! (((ArrayType) arrayref).getElementType() instanceof ReferenceType)) {","if (! (((ArrayType) arrayref).true)) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_40",469,"constraintViolated(o,","constraintViolated(o,  // removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_41",486,"indexOfInt(o, index);","// removed call to indexOfInt()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_42",487,"if (!(value instanceof ReferenceType)) {","if (!(false)) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_43",487,"if (!(value instanceof ReferenceType)) {","if (!(true)) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_44",488,"constraintViolated(o, ""The 'value' is not of a ReferenceType but of type ""+value+""."");","// removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_45",494,"if (arrayrefOfArrayType(o, arrayref)) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_46",494,"if (arrayrefOfArrayType(o, arrayref)) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_47",495,"if (! (((ArrayType) arrayref).getElementType() instanceof ReferenceType)) {","if (! (((ArrayType) arrayref).false)) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_48",495,"if (! (((ArrayType) arrayref).getElementType() instanceof ReferenceType)) {","if (! (((ArrayType) arrayref).true)) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_49",496,"constraintViolated(o, ""The 'arrayref' does not refer to an array with elements of a ReferenceType but to an array of ""+","constraintViolated(o, ""The 'arrayref' does not refer to an array with elements of a ReferenceType but to an array of ""+  // removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_50",526,"if (!stack().peek().equals(Type.INT)) {","if (false) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_51",526,"if (!stack().peek().equals(Type.INT)) {","if (true) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_52",527,"constraintViolated(o, ""The 'count' at the stack top is not of type '""+Type.INT+""' but of type '""+stack().peek()+""'."");","constraintViolated(o, ""The 'count' at the stack top is not of type '""+Type.INT+""' but of type '""+stack().peek()+""'."");  // removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_53",538,"if (! (stack().peek() instanceof ReferenceType) ) {","if (! (stack().false) ) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_54",538,"if (! (stack().peek() instanceof ReferenceType) ) {","if (! (stack().true) ) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_55",539,"constraintViolated(o, ""The 'objectref' at the stack top is not of a ReferenceType but of type '""+stack().peek()+""'."");","constraintViolated(o, ""The 'objectref' at the stack top is not of a ReferenceType but of type '""+stack().peek()+""'."");  // removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_56",542,"referenceTypeIsInitialized(o, objectref);","// removed call to referenceTypeIsInitialized()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_57",567,"if (! ( (stack().peek() instanceof ReferenceType) || (stack().peek() instanceof ReturnaddressType) ) ) {","if (! ( (stack().false) || (stack().peek() instanceof ReturnaddressType) ) ) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_58",567,"if (! ( (stack().peek() instanceof ReferenceType) || (stack().peek() instanceof ReturnaddressType) ) ) {","if (! ( (stack().true) || (stack().peek() instanceof ReturnaddressType) ) ) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_59",567,"if (! ( (stack().peek() instanceof ReferenceType) || (stack().peek() instanceof ReturnaddressType) ) ) {","if (! ( (stack().peek() instanceof ReferenceType) || (stack().false) ) ) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_60",567,"if (! ( (stack().peek() instanceof ReferenceType) || (stack().peek() instanceof ReturnaddressType) ) ) {","if (! ( (stack().peek() instanceof ReferenceType) || (stack().true) ) ) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_61",568,"constraintViolated(o, ""The 'objectref' is not of a ReferenceType or of ReturnaddressType but of ""+stack().peek()+""."");","constraintViolated(o, ""The 'objectref' is not of a ReferenceType or of ReturnaddressType but of ""+stack().peek()+""."");  // removed call to constraintViolated()","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
"bcel_62",583,"if (! ((stack().peek() instanceof ObjectType) || (stack().peek().equals(Type.NULL))) ) {","if (! ((stack().false) || (stack().peek().equals(Type.NULL))) ) {","org/apache/bcel/verifier/structurals/InstConstraintVisitor.java"
