"id","line_no","original_line","mutated_line","source_filepath"
"jexl_1",2243,"MultiplicativeExpression();","// removed call to MultiplicativeExpression()","org/apache/commons/jexl3/parser/Parser.java"
"jexl_2",2246,"if (jj_2_19(2)) {","if (false) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_3",2246,"if (jj_2_19(2)) {","if (true) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_4",2250,"switch (jj_nt.kind) {","switch (jj_nt.kind) { // switch default changed to first case","org/apache/commons/jexl3/parser/Parser.java"
"jexl_5",2255,"jjtree.openNodeScope(jjtn001);","// removed call to openNodeScope()","org/apache/commons/jexl3/parser/Parser.java"
"jexl_6",2256,"jjtreeOpenNodeScope(jjtn001);","// removed call to jjtreeOpenNodeScope()","org/apache/commons/jexl3/parser/Parser.java"
"jexl_7",2257,"jjtn001.jjtSetFirstToken(getToken(1));","jjtn001.jjtSetFirstToken(getToken(1));  // removed call to jjtSetFirstToken()","org/apache/commons/jexl3/parser/Parser.java"
"jexl_8",2259,"MultiplicativeExpression();","// removed call to MultiplicativeExpression()","org/apache/commons/jexl3/parser/Parser.java"
"jexl_9",2261,"if (jjtc001) {","if (false) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_10",2261,"if (jjtc001) {","if (true) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_11",2262,"jjtree.clearNodeScope(jjtn001);","// removed call to clearNodeScope()","org/apache/commons/jexl3/parser/Parser.java"
"jexl_12",2267,"if (jjte001 instanceof ParseException) {","if (false) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_13",2267,"if (jjte001 instanceof ParseException) {","if (true) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_14",2270,"if (jjte001 instanceof RuntimeException) {","if (false) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_15",2270,"if (jjte001 instanceof RuntimeException) {","if (true) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_16",2275,"if (jjtc001) {","if (false) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_17",2275,"if (jjtc001) {","if (true) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_18",2276,"jjtree.closeNodeScope(jjtn001,  2);","// removed call to closeNodeScope()","org/apache/commons/jexl3/parser/Parser.java"
"jexl_19",2277,"if (jjtree.nodeCreated()) {","if (false) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_20",2277,"if (jjtree.nodeCreated()) {","if (true) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_21",2278,"jjtreeCloseNodeScope(jjtn001);","// removed call to jjtreeCloseNodeScope()","org/apache/commons/jexl3/parser/Parser.java"
"jexl_22",2280,"jjtn001.jjtSetLastToken(getToken(0));","jjtn001.jjtSetLastToken(getToken(0));  // removed call to jjtSetLastToken()","org/apache/commons/jexl3/parser/Parser.java"
"jexl_23",2289,"jjtree.openNodeScope(jjtn002);","// removed call to openNodeScope()","org/apache/commons/jexl3/parser/Parser.java"
"jexl_24",2290,"jjtreeOpenNodeScope(jjtn002);","// removed call to jjtreeOpenNodeScope()","org/apache/commons/jexl3/parser/Parser.java"
"jexl_25",2291,"jjtn002.jjtSetFirstToken(getToken(1));","jjtn002.jjtSetFirstToken(getToken(1));  // removed call to jjtSetFirstToken()","org/apache/commons/jexl3/parser/Parser.java"
"jexl_26",2293,"MultiplicativeExpression();","// removed call to MultiplicativeExpression()","org/apache/commons/jexl3/parser/Parser.java"
"jexl_27",2295,"if (jjtc002) {","if (false) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_28",2295,"if (jjtc002) {","if (true) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_29",2296,"jjtree.clearNodeScope(jjtn002);","// removed call to clearNodeScope()","org/apache/commons/jexl3/parser/Parser.java"
"jexl_30",2301,"if (jjte002 instanceof ParseException) {","if (false) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_31",2301,"if (jjte002 instanceof ParseException) {","if (true) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_32",2304,"if (jjte002 instanceof RuntimeException) {","if (false) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_33",2304,"if (jjte002 instanceof RuntimeException) {","if (true) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_34",2309,"if (jjtc002) {","if (false) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_35",2309,"if (jjtc002) {","if (true) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_36",2310,"jjtree.closeNodeScope(jjtn002,  2);","// removed call to closeNodeScope()","org/apache/commons/jexl3/parser/Parser.java"
"jexl_37",2311,"if (jjtree.nodeCreated()) {","if (false) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_38",2311,"if (jjtree.nodeCreated()) {","if (true) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_39",2312,"jjtreeCloseNodeScope(jjtn002);","// removed call to jjtreeCloseNodeScope()","org/apache/commons/jexl3/parser/Parser.java"
"jexl_40",2314,"jjtn002.jjtSetLastToken(getToken(0));","jjtn002.jjtSetLastToken(getToken(0));  // removed call to jjtSetLastToken()","org/apache/commons/jexl3/parser/Parser.java"
"jexl_41",1625,"EqualityExpression();","// removed call to EqualityExpression()","org/apache/commons/jexl3/parser/Parser.java"
"jexl_42",1628,"switch (jj_nt.kind) {","switch (jj_nt.kind) { // switch default changed to first case","org/apache/commons/jexl3/parser/Parser.java"
"jexl_43",1638,"jjtree.openNodeScope(jjtn001);","// removed call to openNodeScope()","org/apache/commons/jexl3/parser/Parser.java"
"jexl_44",1639,"jjtreeOpenNodeScope(jjtn001);","// removed call to jjtreeOpenNodeScope()","org/apache/commons/jexl3/parser/Parser.java"
"jexl_45",1640,"jjtn001.jjtSetFirstToken(getToken(1));","jjtn001.jjtSetFirstToken(getToken(1));  // removed call to jjtSetFirstToken()","org/apache/commons/jexl3/parser/Parser.java"
"jexl_46",1642,"EqualityExpression();","// removed call to EqualityExpression()","org/apache/commons/jexl3/parser/Parser.java"
"jexl_47",1644,"if (jjtc001) {","if (false) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_48",1644,"if (jjtc001) {","if (true) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_49",1645,"jjtree.clearNodeScope(jjtn001);","// removed call to clearNodeScope()","org/apache/commons/jexl3/parser/Parser.java"
"jexl_50",1650,"if (jjte001 instanceof ParseException) {","if (false) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_51",1650,"if (jjte001 instanceof ParseException) {","if (true) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_52",1653,"if (jjte001 instanceof RuntimeException) {","if (false) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_53",1653,"if (jjte001 instanceof RuntimeException) {","if (true) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_54",1658,"if (jjtc001) {","if (false) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_55",1658,"if (jjtc001) {","if (true) {","org/apache/commons/jexl3/parser/Parser.java"
"jexl_56",1659,"jjtree.closeNodeScope(jjtn001,  2);","// removed call to closeNodeScope()","org/apache/commons/jexl3/parser/Parser.java"
"jexl_57",1660,"if (jjtree.nodeCreated()) {","if (false) {","org/apache/commons/jexl3/parser/Parser.java"
