"id","line_no","original_line","mutated_line","source_filepath"
"jsou_1",71,"Validate.notNull(tag);","// removed call to notNull()","org/jsoup/nodes/Element.java"
"jsou_2",75,"if (baseUri != null)","if (false)","org/jsoup/nodes/Element.java"
"jsou_3",75,"if (baseUri != null)","if (true)","org/jsoup/nodes/Element.java"
"jsou_4",76,"this.setBaseUri(baseUri);","// removed call to setBaseUri()","org/jsoup/nodes/Element.java"
"jsou_5",279,"if (parent != null && !parent.tagName().equals(""#root"")) {","if (false && !parent.tagName().equals(""#root"")) {","org/jsoup/nodes/Element.java"
"jsou_6",279,"if (parent != null && !parent.tagName().equals(""#root"")) {","if (true && !parent.tagName().equals(""#root"")) {","org/jsoup/nodes/Element.java"
"jsou_7",279,"if (parent != null && !parent.tagName().equals(""#root"")) {","if (parent != null && false) {","org/jsoup/nodes/Element.java"
"jsou_8",279,"if (parent != null && !parent.tagName().equals(""#root"")) {","if (parent != null && true) {","org/jsoup/nodes/Element.java"
"jsou_9",281,"accumulateParents(parent, parents);","// removed call to accumulateParents()","org/jsoup/nodes/Element.java"
"jsou_10",1611,"Validate.notNull(className);","// removed call to notNull()","org/jsoup/nodes/Element.java"
"jsou_11",1617,"return this;","return null;","org/jsoup/nodes/Element.java"
"jsou_12",788,"return (Element) super.after(html);","return null;","org/jsoup/nodes/Element.java"
"jsou_13",799,"return (Element) super.after(node);","return null;","org/jsoup/nodes/Element.java"
"jsou_14",737,"Validate.notNull(html);","// removed call to notNull()","org/jsoup/nodes/Element.java"
"jsou_15",739,"addChildren(nodes.toArray(new Node[0]));","addChildren(nodes.toArray(new Node[0]));  // removed call to addChildren()","org/jsoup/nodes/Element.java"
"jsou_16",740,"return this;","return null;","org/jsoup/nodes/Element.java"
"jsou_17",578,"Validate.notNull(child);","// removed call to notNull()","org/jsoup/nodes/Element.java"
"jsou_18",581,"reparentChild(child);","// removed call to reparentChild()","org/jsoup/nodes/Element.java"
