"id","line_no","original_line","mutated_line","source_filepath"
"bean_1",133,"descriptorsCache.setFast(true);","// removed call to setFast()","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_2",135,"mappedDescriptorsCache.setFast(true);","// removed call to setFast()","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_3",137,"resetBeanIntrospectors();","// removed call to resetBeanIntrospectors()","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_4",204,"if (introspector == null) {","if (false) {","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_5",204,"if (introspector == null) {","if (true) {","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_6",230,"descriptorsCache.clear();","// removed call to clear()","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_7",231,"mappedDescriptorsCache.clear();","// removed call to clear()","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_8",232,"Introspector.flushCaches();","// removed call to flushCaches()","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_9",272,"if (dest == null) {","if (false) {","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_10",272,"if (dest == null) {","if (true) {","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_11",276,"if (orig == null) {","if (false) {","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_12",276,"if (orig == null) {","if (true) {","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_13",280,"if (orig instanceof DynaBean) {","if (false) {","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_14",280,"if (orig instanceof DynaBean) {","if (true) {","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_15",285,"if (isReadable(orig, name) && isWriteable(dest, name)) {","if (isReadable(orig, name) && false) {","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_16",285,"if (isReadable(orig, name) && isWriteable(dest, name)) {","if (isReadable(orig, name) && true) {","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_17",285,"if (isReadable(orig, name) && isWriteable(dest, name)) {","if (false) {","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_18",285,"if (isReadable(orig, name) && isWriteable(dest, name)) {","if (true) {","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_19",288,"if (dest instanceof DynaBean) {","if (false) {","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_20",288,"if (dest instanceof DynaBean) {","if (true) {","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_21",289,"((DynaBean) dest).set(name, value);","((DynaBean) dest).  // removed call to set()","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_22",291,"setSimpleProperty(dest, name, value);","// removed call to setSimpleProperty()","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_23",300,"} else if (orig instanceof Map) {","} else if (false) {","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_24",300,"} else if (orig instanceof Map) {","} else if (true) {","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_25",305,"if (isWriteable(dest, name)) {","if (false) {","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_26",305,"if (isWriteable(dest, name)) {","if (true) {","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_27",307,"if (dest instanceof DynaBean) {","if (false) {","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_28",307,"if (dest instanceof DynaBean) {","if (true) {","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_29",308,"((DynaBean) dest).set(name, entry.getValue());","((DynaBean) dest).set(name, entry.getValue());  // removed call to set()","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_30",310,"setSimpleProperty(dest, name, entry.getValue());","setSimpleProperty(dest, name, entry.getValue());  // removed call to setSimpleProperty()","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_31",324,"if (isReadable(orig, name) && isWriteable(dest, name)) {","if (isReadable(orig, name) && false) {","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_32",324,"if (isReadable(orig, name) && isWriteable(dest, name)) {","if (isReadable(orig, name) && true) {","org/apache/commons/beanutils/PropertyUtilsBean.java"
"bean_33",324,"if (isReadable(orig, name) && isWriteable(dest, name)) {","if (false) {","org/apache/commons/beanutils/PropertyUtilsBean.java"
